"Scenario","N_AC","b_X","b_EM","meanX_AC","corX","maic.ate","maic.ate.mcse","maic.lci.mean","maic.lci.mcse","maic.uci.mean","maic.uci.mcse","maic.bias","maic.bias.mcse","maic.mse","maic.mse.mcse","maic.mae","maic.mae.mcse","maic.cov","maic.cov.mcse","maic.empse","maic.empse.mcse","maic.vr","maic.vr.mcse","maic.error.worse.than","maic.error.worse.than.mcse","maic.std.bias","maic.aess.mean","maic.aess.mcse","stc.ate","stc.ate.mcse","stc.lci.mean","stc.lci.mcse","stc.uci.mean","stc.uci.mcse","stc.bias","stc.bias.mcse","stc.mse","stc.mse.mcse","stc.mae","stc.mae.mcse","stc.cov","stc.cov.mcse","stc.empse","stc.empse.mcse","stc.vr","stc.vr.mcse","stc.error.worse.than","stc.error.worse.than.mcse","stc.std.bias","stc.no.convergence","bucher.ate","bucher.ate.mcse","bucher.lci.mean","bucher.lci.mcse","bucher.uci.mean","bucher.uci.mcse","bucher.bias","bucher.bias.mcse","bucher.mse","bucher.mse.mcse","bucher.mae","bucher.mae.mcse","bucher.cov","bucher.cov.mcse","bucher.empse","bucher.empse.mcse","bucher.vr","bucher.vr.mcse","bucher.std.bias"
11,300,0.400477566597125,0.693147180559945,0.45,0,0.00314230082375302,0.00487696605251604,-0.305498811740818,0.00493457566336003,0.311783413388324,0.0048379666822005,0.00314230082375302,0.00487696605251604,0.0237708871339835,0.00104164490831402,0.122568452311354,0.00487696605251604,0.953,0.00669260786241059,0.154223207972711,0.00345026132951388,1.02107102465736,0.0228455697408174,0.322,0.0147755202954075,2.03750192014489,237.218081483485,0.526354297095582,0.00262060449476806,0.00528563071843246,-0.323290455297376,0.00533904401382958,0.328531664286912,0.00524359918884775,0.00262060449476806,0.00528563071843246,0.0279168217674632,0.00122150445002239,0.13370882087301,0.00528563071843246,0.95,0.00689202437604511,0.167146319407987,0.00373937547924693,0.994842178131633,0.0222579405252293,0.358,0.0151603430040352,1.5678505539637,0,-0.13948321296739,0.00495208745569777,-0.446821978958432,0.00502081063093588,0.167855553023652,0.00488648340878175,-0.13948321296739,0.00495208745569777,0.0439542136984166,0.00176555910636391,0.172477246325915,0.00495208745569777,0.86,0.0109726933794762,0.156598755323531,0.00350340676247892,1.00133857334487,0.0224022823294354,-89.0704480244552
12,600,0.400477566597125,0.693147180559945,0.45,0,0.000256592300737519,0.00395939199971977,-0.249638254141139,0.00397022905549659,0.250151438742614,0.00395364579234402,0.000256592300737519,0.00395939199971977,0.0156611740620463,0.000674564089782572,0.10096945583832,0.00395939199971977,0.964,0.00589101010014412,0.125206968685632,0.00280111383961183,1.01831163879456,0.022782020698075,0.304,0.0145459272650457,0.204934520363452,475.898498944367,0.844497160485924,0.00287208264614335,0.00414222679706988,-0.25655260332984,0.00414847113300395,0.262296768622126,0.00413915117769946,0.00287208264614335,0.00414222679706988,0.0171491336542517,0.000716250577123745,0.105764711080712,0.00414222679706988,0.964,0.00589101010014412,0.130988712637249,0.00293046225503931,1.01048375221423,0.0226067206428646,0.306,0.0145727142289966,2.19261842361723,0,-0.139731348313905,0.00397277503850059,-0.389044422603007,0.00398127992290507,0.109581725975196,0.00396555321369677,-0.139731348313905,0.00397277503850059,0.0352920082666487,0.00131309572375373,0.156025810296205,0.00397277503850059,0.804,0.0125532465920175,0.12563017753125,0.00281058181225704,1.01251855238296,0.0226520537934341,-111.224349960938
13,150,0.693147180559945,0.693147180559945,0.45,0,-0.000700153460457712,0.00619495437564181,-0.388776470657552,0.00635095499696443,0.387376163736637,0.00608622689035484,-0.000700153460457712,0.00619495437564181,0.0383395724714355,0.00182609332288321,0.155085287360668,0.00619495437564181,0.948,0.00702111102319284,0.195901658278544,0.00438268613933712,1.0107201801538,0.0226194309556934,0.387,0.015402305022301,-0.357400476652522,117.832122649572,0.346673325108993,-0.0401830076476526,0.00696748878322655,-0.46770569985934,0.00710370239909688,0.387339684564035,0.00686976806545044,-0.0401830076476527,0.00696748878322655,0.0501120281480547,0.00227981055390063,0.177818458222403,0.00696748878322655,0.945,0.00720936890441875,0.220331341266711,0.00492922379481935,0.989999105224964,0.022154782320176,0.462,0.0157656588825206,-18.2375359840483,0,-0.130736159772242,0.00633686499801906,-0.522017604869658,0.00651442129788631,0.260545285325173,0.00616673103513703,-0.130736159772242,0.00633686499801906,0.0572076456171092,0.00265667412255586,0.1899755963405,0.00633686499801906,0.9,0.00948683298050514,0.200389266187386,0.0044830823133853,0.996246268734493,0.0222897225072798,-65.2410991165512
14,300,0.693147180559945,0.693147180559945,0.45,0,0.00210771929063779,0.00465413272178958,-0.295568343635993,0.00471629711705259,0.299783782217269,0.00460528134521073,0.00210771929063779,0.00465413272178958,0.0216437329212486,0.000971338579318585,0.116877384712519,0.00465413272178958,0.955,0.00655553201502365,0.147176599335738,0.00329261552766631,1.03194620472955,0.0230881670544425,0.322,0.0147755202954075,1.43210218210686,236.8958842829,0.527419086999267,-0.0243341231132981,0.00515108101949318,-0.343929749334337,0.005193804805016,0.295261503107741,0.00511858715540128,-0.0243341231132981,0.00515108101949318,0.0270992515814066,0.00116435737236284,0.131020800205905,0.00515108101949318,0.951,0.00682634602111555,0.162891484336606,0.00364418686851046,1.00104673940645,0.022396562416533,0.4,0.0154919333848297,-14.938855282952,0,-0.126520068198563,0.00483975182033945,-0.426917628885425,0.00489983850198114,0.173877492488299,0.0047820672235198,-0.126520068198563,0.00483975182033945,0.0394071021417657,0.00159838438271873,0.162266448265249,0.00483975182033945,0.878,0.0103496859855746,0.153046390622187,0.00342393372649106,1.00144065643557,0.0224044522210641,-82.667789605632
15,600,0.693147180559945,0.693147180559945,0.45,0,0.00546056111196268,0.0038598681526227,-0.236880976152801,0.00387090109500526,0.247802098376727,0.00385286593303091,0.00546056111196268,0.0038598681526227,0.0149135013011329,0.000643817565105728,0.0974854787737199,0.0038598681526227,0.949,0.00695693898205238,0.122059748302342,0.00273070463903388,1.01299498978172,0.0226629659652755,0.317,0.0147143127600306,4.4736788236175,475.747928069354,0.889242314668051,-0.0194351042938467,0.00409904810413924,-0.273887298054179,0.00410232889721523,0.235017089466486,0.00409884122041888,-0.0194351042938467,0.00409904810413924,0.0171631164436002,0.000732441615553373,0.105641891757352,0.00409904810413924,0.954,0.00662449998113065,0.129623282476751,0.00289991503103297,1.0015556690119,0.0224069675561229,0.334,0.0149145566477854,-14.9935288803789,0,-0.11986014745397,0.00391124358088883,-0.363749758810207,0.00392082985687818,0.124029463902267,0.00390273980180207,-0.11986014745397,0.00391124358088883,0.0296489834703825,0.00113238677957824,0.141455051860148,0.00391124358088883,0.839,0.0116223491601311,0.123684381993217,0.0027670507303384,1.00607497658759,0.0225078783766303,-96.9080699781024
16,150,1.10866262452161,0.693147180559945,0.45,0,-0.00952493073448158,0.00618119229372742,-0.384934693159577,0.0063358290256272,0.365884831690614,0.00606197742392705,-0.00952493073448158,0.00618119229372742,0.0382596553393599,0.00172287015635451,0.155382543573832,0.00618119229372742,0.944,0.00727076337120113,0.195466463036592,0.00437295000860923,0.979907804513322,0.0219280679765248,0.405,0.0155233694795943,-4.87292325573952,117.647734657777,0.347317845398407,-0.0815708947804004,0.00721162724677266,-0.502574160859877,0.00734219252067134,0.339432371299077,0.0071181032548428,-0.0815708947804004,0.00721162724677265,0.0586093708541225,0.00273734651352968,0.190327177280236,0.00721162724677266,0.915,0.00881901355027874,0.228051677359308,0.00510194213871381,0.941898495333356,0.0210783373148715,0.498,0.0158112618092295,-35.768601101706,0,-0.118712444454809,0.00634665190728704,-0.500985110471261,0.00649071274743908,0.263560221561644,0.00620757735955255,-0.118712444454809,0.00634665190728704,0.054332354910274,0.00246429790202231,0.18494746288382,0.00634665190728704,0.904,0.00931579304192617,0.200698755432788,0.00449000616608782,0.971808011442177,0.0217423482252722,-59.1495668215861
17,300,1.10866262452161,0.693147180559945,0.45,0,-0.000508674874518766,0.00483398457227447,-0.289386927845129,0.00487364685514238,0.288369578096092,0.00480346681032245,-0.000508674874518766,0.00483398457227447,0.0233442981882706,0.00101043341691583,0.122739095254837,0.00483398457227447,0.942,0.00739161687318817,0.152864014225022,0.00341985362571487,0.964187502374018,0.0215717131708781,0.365,0.0152241584332271,-0.3327629966396,236.350564746993,0.534739007034753,-0.0702509145182772,0.00539143367865794,-0.384903598469842,0.00540928051258913,0.244401769433287,0.00538310166379632,-0.0702509145182772,0.00539143367865794,0.03397368054491,0.00151260091239489,0.146233060517143,0.00539143367865794,0.908,0.00913980306133562,0.170492102782994,0.00381422690496595,0.941627389122455,0.0210671009866092,0.456,0.0157500476189756,-41.2047909384366,0,-0.109337126288468,0.00492371809397314,-0.403171390171909,0.00497037109390155,0.184497137594974,0.00487885506145383,-0.109337126288468,0.00492371809397314,0.03617336405407,0.00149424909395704,0.153867914845686,0.00492371809397314,0.87,0.0106348483769163,0.155701637335381,0.00348333655681263,0.962855613495947,0.0215411250257144,-70.2222071390013
18,600,1.10866262452161,0.693147180559945,0.45,0,0.00518786091007184,0.00367847870907889,-0.23040405834247,0.00368418550512511,0.240779780162614,0.00367558260880413,0.00518786091007184,0.00367847870907889,0.0135445883083558,0.000599963364245521,0.0929178341766317,0.00367847870907889,0.955,0.00655553201502365,0.116323710451252,0.00260237875447735,1.03334193071263,0.0231180406109554,0.336,0.0149366662947259,4.45984820286999,475.363968268404,0.850951332112194,-0.0631529716902776,0.00395273801727993,-0.313206681948031,0.00395739442425366,0.186900738567476,0.00395114411437771,-0.0631529716902776,0.00395273801727993,0.0195968115287298,0.000837309973249847,0.112955879186372,0.00395273801727993,0.927,0.00822623850857729,0.124996551285426,0.00279640640920279,1.02067430353432,0.0228346809529765,0.425,0.0156324982008635,-50.5237712887532,0,-0.103669460367243,0.00372228167283692,-0.34229419314017,0.00372672435367986,0.134955272405684,0.00371865963461265,-0.103669460367243,0.00372228167283692,0.0245888824839211,0.000997648039788986,0.127969082480384,0.00372228167283692,0.881,0.0102390917565964,0.117708881788664,0.00263336762549778,1.03432763922087,0.0231399159967939,-88.0727594994682
19,150,0.400477566597125,1.10866262452161,0.45,0,0.00024873085336521,0.00626409008515545,-0.386197584833342,0.00635211617299881,0.386695046540072,0.0062142196218186,0.00024873085336521,0.00626409008515545,0.0391996476373852,0.00182300313574037,0.156627682729067,0.00626409008515545,0.948,0.00702111102319284,0.198087921375693,0.00443159692986853,0.995366649682585,0.0222741477267362,0.3,0.0144913767461894,0.125565885914602,117.940059146876,0.334001994166971,0.094623568600088,0.00727195338848011,-0.332425772865097,0.00728004219388579,0.521672910065273,0.00730157306397262,0.094623568600088,0.00727195338848011,0.0617820445127588,0.00289175753630619,0.197896142934428,0.00727195338848011,0.911,0.00900438781928011,0.229959357461764,0.00514462050711964,0.947499258961781,0.0212035391029702,0.398,0.0154788888490098,41.1479531185511,0,-0.204454503770669,0.00642695484571424,-0.596177384146441,0.00655659817058155,0.187268376605103,0.00630386978630202,-0.204454503770669,0.00642695484571424,0.0830660869523714,0.0032940768218907,0.239416465391208,0.00642695484571424,0.83,0.0118785521003193,0.20323815731513,0.00454681733108634,0.983389574050848,0.0220016084012971,-100.598483312193
20,300,0.400477566597125,1.10866262452161,0.45,0,0.0119448464288445,0.00458041469976796,-0.285441422255786,0.00462996878988223,0.309331115113475,0.0045423199306644,0.0119448464288445,0.00458041469976796,0.0211018979792372,0.00095872104897636,0.115993302738868,0.00458041469976796,0.96,0.00619677335393187,0.144845430793831,0.00324046293157878,1.0475337423897,0.0234366454442042,0.269,0.0140228028582021,8.24661597081823,236.754000059451,0.53182513641034,0.10747867377426,0.00498791108201367,-0.212095509345839,0.00500289272988202,0.42705285689436,0.00498360043632207,0.10747867377426,0.00498791108201367,0.0364060430213866,0.00155520150143448,0.153530684998866,0.00498791108201367,0.907,0.00918428004799505,0.157731597855581,0.00352875056664522,1.03372470025231,0.0231276467144155,0.376,0.015317441039547,68.1402301349078,0,-0.193851482090307,0.00479651620703225,-0.494820709824678,0.00484298428157837,0.107117745644064,0.00475224910193339,-0.193851482090307,0.00479651620703225,0.0605619582652074,0.0022010156314621,0.207065396840628,0.00479651620703225,0.777,0.0131632442809514,0.151679160481337,0.00339334623356096,1.01239055927654,0.0226493675313709,-127.803635961026
